Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1021	1	SC143	OBN1	Crianlarich Jn – Lower Crianlarich GF	0	00	0	44	5	Y	Y	R1	Y	"R2
R3
R4"	N	Y	R1	N	"R1Class 20 and Class 37/5 locomotives
that conform to RA6 shall apply those
restrictions applicable to the Class
31/4
R2Prohibited from hauling passenger
services
R330mph over bridge 3 (0m 16ch)
(10mph when providing assistance)
R4Double Heading prohibited except for
providing assistance"
Scotland	1021	2	SC143	OBN2	"Lower Crianlarich GF – Inverhaggernie
No.1 LC"	30	23	31	00	5	R1	R1	"R1
R2"	R1	"R3
R4
R5"	N	R1	"R1
R2"	N	"R130mph over bridge 158 (30m 80ch)
R2Prohibited from hauling passenger
services
R310mph over bridge 158 (30m 80ch)
R4Double Heading prohibited except for
providing assistance"
Scotland	1021	3	SC143	OBN2	Inverhaggernie No.1 LC – Oban	31	00	71	44	5	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	N	N	"R1
R2"	"R1
R2"	N	"R130mph over bridge 176 (35m 17ch)
R220mph over bridge 268 (66m 16ch)"
Scotland	1021	4	SC145	MLG1	Fort William – Change of ELR	0	05	1	27	5	Y	Y	R1	Y	N	R2	Y	R1	N	"R1Route prohibited to Class 20 and
Class 37/5 locomotives that conform
to RA6
R220mph over Lochy Viaduct (0m 55ch
– 0m 60ch)"
Scotland	1021	5	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	5	Y	Y	R1	Y	N	"R2
R3
R4"	Y	R1	N	"R1Route prohibited to Class 20 and
Class 37/5 locomotives that conform
to RA6
R230mph over bridge 29 (6m 18ch)
R320mph over bridge 051 (Drumsalie)
(10m 19ch)
R410mph over bridge 134 (31m 04ch)"
Scotland	1021	6	SC147	ECM8	"Route Boundary (LN600) (Heaton South
Jn) – Prestonpans Jn"	69	67	9	67	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1021	7	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
