Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	57	58	59	60	66	67	68	70	73	97/3	Notes
Kent-Sussex-Wessex	0915	1	SO110	VIR	Bickley Jn – St Mary Cray Down Jn	12	38	12	79	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	2	SO110	VIR	"St Mary Cray Down Jn – St Mary Cray
Up Jn"	12	79	13	17	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	3	SO110	VIR	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	4	SO110	VIR	Swanley Jn – Fawkham Jn	17	46	20	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	5	SO110	VIR	Fawkham Jn – CTRL	20	49	0	00	8	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0915	6	SO110	VIR	Fawkham Jn – Rochester Bridge Jn	20	49	33	01	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	7	SO110	VIR	Rochester Bridge Jn – Gillingham	33	01	35	75	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	8	SO110	VIR	Gillingham – Western Jn	35	75	43	70	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	9	SO110	VIR	Western Jn – Eastern Jn	43	70	44	18	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	10	SO110	VIR	Eastern Jn – Faversham Jn	44	18	52	13	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	11	SO110	VIR	Faversham Jn – Ramsgate Station	52	13	79	21	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	12	SO110	ACR	"Ramsgate Station – Ramsgate
Substation"	85	67	85	22	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	13	SO130	XTD	Charing Cross – Metropolitan Jn	0	00	1	31	4	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	N	"R1
R2"	"R1
R2"	"R1
R2"	"R1Prohibited (from points 648 on to the
track leading into Charing Cross
platform 1
R215mph over Charing Cross Bridge
(0m 27ch)  with all vehicles prohibited
on adjacent tracks unless specially
authorised by the Structures Engineer"
Kent-Sussex-Wessex	0915	14	SO130	CBM	"Cannon Street – Cannon Street
Substation"	0	00	0	20	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	15	SO130	CSW	"Cannon Street Sub Station –
Metropolitan Jn (via Metropolitan
Reversible line)"	1	53	1	33	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	16	SO130	XTD	Metropolitan Jn – Borough Market Jn	1	31	1	50	8	R1	R1	R1	R1	R1	R1	R1	R1	R1	R1	"R115mph on the Up and Down Cannon
Street lines"
Kent-Sussex-Wessex	0915	17	SO130	CBM	"Cannon Street Substation – Borough
Market Jn"	0	20	0	38	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0915	18	SO130	XTD	"Borough Market Jn – London Bridge
platforms 1-9"	01	50	01	69	"8
R1"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R2
R3"	"R1RA4 Down & Up Cannon Street
Reversible and Down Snow Hill lines
NC/G1/2010/ICP-RA/SO001V2 until
01 March 2021
R215mph on the Up and Down Cannon
Street lines
NC/G1/2010/ICP-RA/SO001V2 until
01 March 2021
R3OPPOS applies over bridge 54 (1m
60ch) on the Up and Down Cannon
Street lines"
