Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0866	1	NW7023	BPP	Philips Park West Jn – Brewery Jn	0	00	0	18	N	N	N	N	
London-North-Western-North	0866	2	NW7025	PPA1	Philips Park West Jn – Philips Park South Jn	1	59	2	07	N	N	N	N	
London-North-Western-North	0866	3	NW7025	PPA1	Philips Park South Jn – Change of Mileage	2	07	3	12	N	N	N	N	
London-North-Western-North	0866	4	NW7025	PPA2	Change of Mileage – Ashburys West Jn	0	57	0	00	N	N	N	N	
London-North-Western-North	0866	5	NW7027	PPP1	Baguley Fold Jn – Change of Mileage	2	39	2	13	N	N	N	N	
London-North-Western-North	0866	6	NW7027	PPP2	Change of Mileage – Philips Park South Jn	0	00	0	19	N	N	N	N	
London-North-Western-North	0866	7	NW8001	HXS1	Hunts Cross West Jn – Liverpool Central	6	11	0	02	N	N	Y	Y	
London-North-Western-North	0866	8	NW8001	HXS2	Liverpool Central – Paradise Jn	37	13	36	71	N	N	Y	Y	
London-North-Western-North	0866	9	NW8001	HXS2	Paradise Jn – Sandhills Jn	36	71	34	75	N	N	Y	Y	
London-North-Western-North	0866	10	NW8001	HXS3	Sandhills Jn – Bootle Jn	1	41	2	39	N	N	Y	Y	
London-North-Western-North	0866	11	NW8001	HXS3	Bootle Jn – Southport	2	39	18	35	N	N	Y	Y	
London-North-Western-North	0866	12	NW8003	SIL	"Paradise Jn – James Street (Stock
Interchange/Holding line)"	0	32	0	53	N	N	Y	Y	
London-North-Western-North	0866	13	NW8005	SJO1	Sandhills Jn – Walton Jn	34	75	33	16	N	N	Y	Y	
London-North-Western-North	0866	14	NW8005	SJO2	Walton Jn – Ormskirk	3	20	12	13	N	N	Y	Y	
London-North-Western-North	0866	15	NW8007	"HXS/
NMM"	"Bootle Jn – Change of ELR (Site of Former North
Mersey Jn)"	2	34	3	52	N	N	N	N	
London-North-Western-North	0866	16	NW8007	NMB	"Change of ELR (Site of Former North Mersey Jn) –
Change of ELR (Site of Former Sefton Jn)"	34	40	32	42	N	N	N	N	
London-North-Western-North	0866	17	NW8007	AFL	"Change of ELR (Site of Former Sefton Jn) – Aintree
Station Jn"	0	00	0	40	N	N	N	N	
London-North-Western-North	0866	18	NW8009	WJK	Walton Jn – Kirkby	33	16	29	41	N	N	Y	Y	
London-North-Western-North	0866	19	NW8011	MIR1	Mann Island Jn – Mann Island Jn via Loop	0	00	2	12	N	N	Y	Y	
London-North-Western-North	0866	20	NW8011	MIR2	Mann Island Jn – Hamilton Square Jn	0	69	1	72	N	N	Y	Y	
London-North-Western-North	0866	21	NW8011	CWK1	"Hamilton Square Jn – Change of ELR (Birkenhead
Park)"	1	72	3	00	N	N	Y	Y	
London-North-Western-North	0866	22	NW8011	CWK2	"Change of ELR (Birkenhead Park) – Bidston East
Jn"	3	00	4	40	N	N	Y	Y	
London-North-Western-North	0866	23	NW8011	CWK3	Bidston East Jn – Bidston Dee Jn	4	40	4	78	N	N	Y	Y	
London-North-Western-North	0866	24	NW8011	CWK3	Bidston Dee Jn – West Kirby	4	78	10	46	N	N	Y	Y	
London-North-Western-North	0866	25	NW8013	MIR2	Canning Street Jn – Rock Ferry	1	60	3	42	N	N	Y	Y	
London-North-Western-North	0866	26	NW8013	CRR2	Rock Ferry – Hooton South Jn	13	43	7	68	N	N	Y	Y	
