Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Anglia	0442	1	EA1200	CJC	Clapton Jn – Chingford	4	37	10	33	7	Y	Y	Y	Y	N	N	
Anglia	0442	2	EA1210	HEB	Broxbourne Jn – Hertford East	18	35	24	19	9	Y	Y	Y	Y	N	N	
Anglia	0442	3	EA1220	TLA	Stansted South Jn – Stansted East Jn	33	54	34	26	8	Y	Y	Y	Y	N	N	
Anglia	0442	4	EA1220	TEN	Stansted North Jn – Stansted East Jn	0	00	0	49	8	Y	Y	Y	Y	N	N	
Anglia	0442	5	EA1220	TLA	Stansted East Jn –Stansted Airport	34	26	36	67	8	Y	Y	Y	Y	N	N	
Anglia	0442	6	EA1230	SBR	"Route Boundary (LN125) (Royston) –
Shepreth Branch Jn"	45	60	55	26	9	Y	Y	Y	Y	H	N	
Anglia	0442	7	EA1270	MIT	Kings Lynn Jn – Middleton towers	0	22	3	44	8	Y	Y	Y	Y	N	N	
Anglia	0442	8	EA1270	MIT	"Kings Lynn Jn – Kings Lynn Yard
branch end"	0	22	0	00	8	Y	Y	Y	Y	N	N	
Anglia	0442	9	EA1280	SDC	"Stratford Central Jn East – Temple
Mills East Jn. (Via Platforms 11 & 12
at Stratford)"	3	76	4	45	8	Y	Y	Y	Y	N	Y	
Anglia	0442	10	EA1280	SDC	Temple Mills East Jn – Coppermill Jn	4	45	7	14	8	Y	Y	Y	Y	N	N	
Anglia	0442	11	EA1290	TSE2	"Tottenham South Jn – Change of
mileage"	5	41	5	54	8	Y	Y	Y	Y	N	N	
Anglia	0442	12	EA1290	TSE1	"Change of mileage – South
Tottenham East Jn"	6	22	5	73	8	Y	Y	Y	Y	N	N	
Anglia	0442	13	EA1300	SSL	"South Tottenham West Jn – Seven
Sisters Jn"	0	13	0	00	8	Y	Y	Y	Y	N	N	
Anglia	0442	14	EA1310	BOK2	"Camden Road West Jn – Gospel Oak
Jn"	0	00	1	10	8	Y	Y	Y	Y	H	Y	
Anglia	0442	15	EA1310	BOK2	Gospel Oak Jn – Kensal Green Jn	1	10	5	10	8	Y	Y	Y	Y	H	Y	
Anglia	0442	16	EA1310	KGC	"Kensal Green Jn – Route Boundary
(MD155) (Harlesden Jn)"	0	00	0	21	8	N	N	Y	Y	H	Y	
Anglia	0442	17	EA1310	KGW	"Kensal Green Jn – Route Boundary
(MD150) (Willesden Suburban Jn)"	5	10	5	25	8	N	N	Y	N	N	N	
Anglia	0442	18	EA1310	BOK3	"Kensal Green Jn – Willesden High
Level Jn"	5	10	5	48	8	Y	Y	Y	Y	N	Y	
Anglia	0442	19	EA1310	WMB	"Willesden High Level Jn – Route
Boundary (MD160) (Mitre Bridge Jn)"	0	43	0	09	8	Y	Y	Y	Y	N	Y	
Anglia	0442	20	EA1310	BOK4	"Willesden High Level Jn – Former Old
Oak Jn (change of mileage)"	0	00	0	34	8	Y	Y	Y	Y	N	N	
Anglia	0442	21	EA1310	BOK4	"Former Old Oak Jn (change of
mileage) – Acton Wells Jn
(Connection EA1360)"	0	34	0	66	8	Y	Y	Y	Y	N	N	
