Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1020	1	SC141	WHL	Craigendoran Jn – Crianlarich Jn	0	01	36	30	5	Y	Y	R1	Y	"R2
R3
R4
R5
R6"	"R2
R3
R4
R5
R6"	Y	R1	"R2
R3
R4
R5
R6"	"R1Class 20 and Class 37/5 locomotives
that conform to RA6 shall apply those
restrictions applicable to the Class
31/4
R210mph over bridge 26 (9m 52ch)
R320mph over bridge 30 (11m 38ch)
R420mph over bridge 97 (30m 50ch)
R520mph over bridge 108 (33m 14ch)
R6Double Heading prohibited except for
providing assistance and then at only
10mph over the above structures"
Scotland	1020	2	SC141	WHL	Crianlarich Jn – Fort William	36	30	99	37	5	Y	Y	R1	Y	"R2
R3
R4
R5
R6
R7
R8
R9
R10
R11"	"R2
R3
R4
R5
R6
R7
R8
R9
R10
R11"	Y	R1	N	"R1Class 20 and Class 37/5 locomotives
that conform to RA6 shall apply those
restrictions applicable to the Class
31/4
R240mph over bridge 116 (36m 39ch)
R320mph over bridge 117 (36m 44ch)
R430mph over bridge 131 (39m 65ch)
R520mph over bridge 149 (45m 03ch)
R620mph over bridge 151 (45m 43ch)
R720mph over bridge 197 (61m 39ch)
R820mph over bridge 201 (63m 50ch)
R930mph over bridge 203 (64m 64ch)
R10 20mph over bridge 259 (76m 29ch)
R11 Double Heading prohibited except for
providing assistance and then at only
10mph over the above structures"
