Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	Mk3 (MOD)	MK3DVT	MK3 DVT (MOD)	MK4	Notes
London-North-Western-South	0497	1	MD325	PBL	"Perry Barr West Jn – Perry Barr North
Jn"	0	29	0	00	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0497	2	MD330	SCL	Soho East Jn – Soho North Jn	0	00	0	22	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0497	3	MD335	SSP	"Perry Barr West Jn – Perry Barr South
Jn"	0	39	0	00	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0497	4	MD340	ALC1	"Aston North Jn – Sutton Coldfield
Change of ELR"	0	00	5	00	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	5	MD340	ALC2	"Sutton Coldfield Change of ELR –
Lichfield City Jn"	5	00	13	33	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	6	MD340	BJW3	"Lichfield City Jn – Lichfield Trent Valley
(End of Electrification)"	16	47	18	05	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	7	MD340	BJW3	"Lichfield Trent Valley – Route Boundary
(LN3340) (Wichnor Jn)"	18	05	19	00	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	8	MD345	BJW1	"Bescot Jn – Walsall Pleck Jn (Change of
Mileage)"	0	00	0	65	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	9	MD345	BJW2	"Walsall Pleck Jn (Change of Mileage) –
Limit of Electrification"	5	42	6	34	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	10	MD345	BJW2	Limit of Electrification – Ryecroft Jn	6	34	6	76	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	11	MD345	BJW2	Ryecroft Jn – Change of Mileage	6	76	6	79	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	12	MD345	RRN1	"Change of Mileage – Cannock Change
of ELR"	0	00	7	20	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	13	MD345	RRN2	"Cannock Change of ELR – Route
Boundary (NW1004) (Rugeley North Jn)"	7	20	14	00	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	14	MD350	BJW3	Anglesea Sidings – Lichfield City Jn	12	15	16	47	Y	Y	Y	N	N	N	N	"Line out of use
NC/G1/2005/LN296"
London-North-Western-South	0497	15	MD355	LTV	"Lichfield South Jn – Lichfield Trent
Valley Jn (Chord Line)"	0	22	0	02	Y	Y	Y	N	N	N	N	
London-North-Western-South	0497	16	MD360	WDJ	Walsall, Pleck Jn – Darlaston Jn	1	16	0	15	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0497	17	MD365	PJW	"Portobello Jn – Wolverhampton Crane
Street Jn"	0	04	1	59	Y	Y	Y	Y	Y	Y	N	
London-North-Western-South	0497	18	MD401	DCL	"Route Boundary (GW200) (Heyford) –
Aynho Jn"	75	00	81	13	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0497	19	MD401	DCL	Aynho Jn – Leamington Spa North Jn	81	13	106	25	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0497	20	MD401	DCL	"Leamington Spa North Jn – Tyseley
South Jn"	106	25	125	73	Y	Y	Y	Y	N	Y	N	
