Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	Mk3 (MOD)	MK3DVT	MK3 DVT (MOD)	MK4	Notes
London-North-Western-South	0494	1	MD105	HNR	Northampton North Jn – Rugby South Jn	66	12	83	54	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	2	MD120	CWJ	"Camden Jn DC lines (Down DC line
mileage) – Kilburn High Road (DC
Lines)"	1	36	3	01	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	3	MD120	CWJ	"Kilburn High Road – Willesden
Suburban Jn (DC Lines)"	3	01	5	28	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	4	MD120	CWJ	"Willesden Suburban Jn – Harrow and
Wealdstone  (Sand Drag) (DC Lines)"	5	28	11	46	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	5	MD120	CWJ	"Harrow and Wealdstone (Sand Drag) –
Watford Jn (DC Lines)"	11	46	17	58	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	6	MD130	WSA	Watford Junction – St Albans Abbey	0	00	6	45	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	7	MD136	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	8	MD136	WCL	"Railnet Jn – Willesden Carriage Shed
South"	1	11	2	00	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	9	MD136	WCL	"Willesden Carriage Shed South –
Connection with Yard line"	2	00	2	60	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	10	MD136	WEF1	"Connection with Yard line – Wembley
Central Jn"	2	60	2	76	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	11	MD137	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	12	MD137	UHL	Railnet Jn – Wembley Yard South Jn	1	11	1	62	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	13	MD137	WEF1	"Wembley Yard South Jn – Wembley
Central Jn"	1	62	2	76	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0494	14	MD140	LEC1	"Bletchley South Jn – Bletchley North Jn
(Change of Mileage)"	46	41	46	59	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	15	MD140	BBM	"Bletchley North Jn (Change of Mileage)
– Limit of electrification (Bletchley TMD)"	0	11	0	21	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	16	MD140	BBM	"Limit of electrification (Bletchley TMD) –
Route Boundary (LN3140) (Bedford)"	0	21	16	07	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	17	MD145	CRC2	"Route Boundary (EA1320) (Camden
Road West Jn) – Camden Jn (North DC
lines)"	5	42	5	78	Y	Y	Y	"EH
R1"	N	Y	N	"R1Prohibited with footsteps
fitted"
London-North-Western-South	0494	18	MD150	KGW	"Route Boundary (EA1310) (Kensal
Green Jn) – Willesden Suburban Jn"	5	25	5	36	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	19	MD155	KGC	"Route Boundary (EA1310) (Kensal
Green Jn) – Harlesden Jn"	0	21	1	00	Y	Y	Y	N	N	Y	N	
London-North-Western-South	0494	20	MD160	WMB	"Route Boundary (EA1310) (Willesden
High Level Jn) – Mitre Bridge Jn"	0	09	0	00	Y	Y	Y	N	N	N	N	
London-North-Western-South	0494	21	MD160	WMB	"Route Boundary (EA1310) (Willesden
High Level Jn) – Mitre Bridge Jn"	0	09	0	00	Y	Y	Y	N	N	N	N	
