Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0858	1	NW1025	IMG	Bamfurlong Sidings Jn – Ince Moss Jn	0	18	0	78	N	N	N	N	
London-North-Western-North	0858	2	NW1027	PSR1	"Preston South Jn – Preston Docks Branch (Change
of ELR)"	21	39	21	47	N	N	N	N	
London-North-Western-North	0858	3	NW1027	PSR2	"Preston Docks Branch (Change of ELR) – Network
Rail Boundary (Ribble Steam Railway)"	0	00	0	40	N	N	N	N	
London-North-Western-North	0858	4	NW2001	WJL1	NW1001 (Weaver Jn) – Ditton East Jn	174	53	182	67	N	T	N	N	
London-North-Western-North	0858	5	NW2001	WJL2	Ditton East Jn – Speke East Jn	182	67	186	72	N	T	N	N	
London-North-Western-North	0858	6	NW2001	WJL3	Speke Est Jn – Edge Hill East Jn	186	72	191	75	N	T	N	N	
London-North-Western-North	0858	7	NW2001	WJL4	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	N	"R1
R2"	N	N	"2Prohibited Liverpool Lime Street platforms 1, 2,
3, 4, 5, 7 and 8
3Permitted loco-hauled only on Down and Up
Wapping sidings"
London-North-Western-North	0858	8	NW2003	RDB	"Runcorn – Network Rail Boundary (Runcorn Dock
Branch)"	0	02	0	69	N	N	N	N	
London-North-Western-North	0858	9	NW2005	SCR	Speke East Jn – Garston Jn	22	59	23	52	N	N	N	N	
London-North-Western-North	0858	10	NW2007	AEG	Allerton East Jn – Garston Jn	0	00	0	28	N	N	N	N	
London-North-Western-North	0858	11	NW2009	SDJ2	End of Line (Latchford) – Ditton East Jn	10	06	18	55	N	N	N	N	
London-North-Western-North	0858	12	NW2011	WOA1	Walton Old Jn – Arpley Jn	0	68	0	00	N	N	N	N	
London-North-Western-North	0858	13	NW2015	DSE	Ordsall Lane Jn – Newton-le-Willows Jn	30	38	16	19	N	R1	N	N	1Prohibited Eccles Up Goods Loop
London-North-Western-North	0858	14	NW2015	DSE	"Newton-le-Willows Jn  - Earlestown East Jn
(Electrified section)"	16	19	14	75	N	Y	N	N	
London-North-Western-North	0858	15	NW2015	DSE	Earlestown East Jn - Edge Hill	14	75	1	57	N	H	N	N	
London-North-Western-North	0858	16	NW2017	SCN	"Eccles Station Jn – Network Rail (Weaste Branch) /
MSC Boundary"	0	00	0	54	N	N	N	N	
London-North-Western-North	0858	17	NW2019	PJL	Parkside Jn – Lowton Jn (East Curve lines)	0	05	0	36	N	Y	N	N	
London-North-Western-North	0858	18	NW2021	EEE	"Earlestown South Jn – Earlestown West Jn
(Liverpool Curve)"	186	74	187	15	N	H	N	N	
London-North-Western-North	0858	19	NW2023	SBH3	Springs Branch Jn – Gerards Bridge Jn	12	54	5	66	N	N	N	N	
London-North-Western-North	0858	20	NW2023	SBH2	Gerards Bridge Jn – St Helens Station Jn	5	66	5	12	N	N	N	N	
London-North-Western-North	0858	21	NW2023	SBH1	St Helens Station Jn – Huyton Jn	5	12	0	-18	N	N	N	N	
London-North-Western-North	0858	22	NW2025	SHS1	St. Helens Station Jn – Network Rail Boundary	7	15	6	04	N	N	N	N	
