Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325	333	Notes
London-North-Eastern	1022	1	LN135	EMP	"Route Boundary (EA1560) (Ely West
Jn) – Crescent Jn"	98	40	100	66	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	2	LN147	PMJ	"Helpston Jn – Route Boundary
(LN3615)"	16	71	13	60	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	3	LN150	SPD5	Flyover East – Decoy North Jn	116	20	117	46	Y	Y	Y	Y	Y	N	Y	Y	H	N	
London-North-Eastern	1022	4	LN155	LCJ	"Flyover East Jn – Loversall Jn (Up
Loversall Curve)"	152	79	152	36	Y	Y	Y	Y	Y	N	Y	Y	H	N	
London-North-Eastern	1022	5	LN160	LCR	"Loversall Carr Jn – Rossington Colliery
Jn"	152	00	152	12	Y	Y	Y	Y	Y	N	Y	Y	H	N	
London-North-Eastern	1022	6	LN160	FWR1	"Rossington Colliery Jn – Flyover West
Jn"	152	12	153	19	Y	Y	Y	Y	Y	N	Y	Y	H	N	
London-North-Eastern	1022	7	LN165	HPW	"Route Boundary (EA1370) (Harringay
Park Jn) – Harringay Jn"	0	14	0	03	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	8	LN170	WEB	"Werrington Jn – Site of former
Spalding South Jn"	79	34	92	58	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	9	LN170	SPD1	"Site of former Spalding South Jn –
Sleaford South Jn"	44	07	62	14	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	10	LN170	SPD2	Sleaford South Jn – Sleaford North Jn	62	14	63	48	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	11	LN170	SPD2	"Sleaford North Jn – Site of former
Greetwell West Jn"	63	48	81	25	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	12	LN170	SPD3	"Site of former Greetwell West Jn –
Trent East Jn"	81	25	98	56	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	13	LN170	MAC3	Trent East Jn – Trent West Jn	73	25	73	11	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	14	LN170	SPD4	Trent West Jn – Bessacarr Jn	98	68	115	72	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	15	LN170	SPD5	"Bessacarr Jn –  Doncaster, Flyover
East Jn"	115	72	116	20	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	16	LN175	SSE	Sleaford South Jn –  Sleaford East Jn	0	00	0	43	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	17	LN180	SNW	Sleaford West Jn –  Sleaford North Jn	1	34	3	42	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	18	LN185	ABE1	"Allington West Jn –  Site of former
Barkston East Jn"	0	00	4	08	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	19	LN185	GRS1	"Barkston East Jn – Site of former
Honington Jn"	110	12	112	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	20	LN185	GRS2	"Site of former Honington Jn – Sleaford
West Jn"	112	00	120	29	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	21	LN185	GRS2	Sleaford West Jn – Sleaford East Jn	120	29	121	21	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1022	22	LN185	GRS2	"Sleaford East Jn – Site of former
Boston Sleaford Line Jn"	121	21	137	06	N	N	N	N	N	N	N	N	H	N	
