Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0966	1	SC171	ECN2	"Haymarket East Jn – Haymarket Central
Jn (North Lines)"	1	29	1	66	N	N	N	Y	Y	Y	Y	
Scotland	0966	2	SC171	EGM2	"Haymarket Central Jn – Haymarket West
Jn (South Lines)"	45	35	44	73	N	N	N	Y	Y	Y	Y	
Scotland	0966	3	SC171	ECN2	"Haymarket Central Jn – Haymarket West
Jn (North Lines)"	1	66	2	41	N	N	N	Y	Y	Y	Y	
Scotland	0966	4	SC171	ECN2	Haymarket West Jn – Dundee Central Jn	2	41	58	69	N	N	N	Y	Y	Y	Y	
Scotland	0966	5	SC171	ECN2	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	Y	Y	Y	Y	
Scotland	0966	6	SC173	CWH1	"Inverkeithing Central Jn – Change of
ELR (Cowdenbeath)"	13	21	22	76	N	N	N	Y	Y	Y	Y	
Scotland	0966	7	SC173	CWH2	"Change of ELR (Cowdenbeath) –
Change of ELR (Lochgelly)"	0	00	0	70	N	N	N	Y	Y	Y	Y	
Scotland	0966	8	SC173	CWH3	"Change of ELR (Lochgelly) – Thornton
West Jn"	27	00	34	62	N	N	N	Y	Y	Y	Y	
Scotland	0966	9	SC173	TNW	Thornton West Jn – Thornton North Jn	0	70	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0966	10	SC175	RHD2	Rosyth Dockyard – Change of ELR	1	21	1	00	N	N	N	N	N	N	N	
Scotland	0966	11	SC175	RHD1	"Change of ELR – Inverkeithing South Jn
(Goods Line)"	1	00	0	02	N	N	N	N	N	N	N	
Scotland	0966	12	SC176	IGE	"Inverkeithing North Jn – Inverkeithing
East Jn (Inverkeithing Curve)"	0	33	0	00	N	N	N	Y	N	Y	Y	
Scotland	0966	13	SC177	MTL1	Thornton North Jn – Change of ELR	0	11	4	65	N	N	N	N	N	N	N	
Scotland	0966	14	SC177	MTL2	"Change of ELR – Methill Power Station
(Goods Line)"	7	34	6	48	N	N	N	N	N	N	N	
Scotland	0966	15	SC178	CWH3	Thornton South Jn – Thornton West Jn	35	38	34	62	N	N	N	Y	Y	Y	Y	
Scotland	0966	16	SC181	CDC1	Ladybank Jn – Change of ELR	0	03	14	10	N	N	N	Y	Y	Y	Y	
Scotland	0966	17	SC181	CDC2	Change of ELR – Hilton Jn	44	18	45	66	N	N	N	Y	Y	Y	Y	
Scotland	0966	18	SC183	SAA	Stirling Middle Jn – Change of ELR	0	00	8	14	N	N	N	R1	N	R1	R1	"R1Prohibited between Alloa Town and
Change of ELR (8m 14ch)"
Scotland	0966	19	SC183	KNE1	Change of ELR – Longannet	0	00	5	62	N	N	N	N	N	N	N	
Scotland	0966	20	SC183	KNE1	Longannet – Change of ELR	5	62	14	14	N	N	N	N	N	N	N	
Scotland	0966	21	SC183	KNE2	Change of ELR – Charlestown Jn	14	14	15	39	N	N	N	N	N	N	N	
Scotland	0966	22	SC189	CRE	Westfield – Change of Mileage	28	77	33	04	N	N	N	N	N	N	N	
Scotland	0966	23	SC189	CRE	"Change of Mileage – Redford Jn (Goods
Line)"	33	28	33	45	N	N	N	N	N	N	N	
