Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	170	180	185	220	221	Notes
Scotland	0978	1	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	N	N	N	N	N	
Scotland	0978	2	SC147	ECM8	"Route Boundary (LN600) (Heaton South
Jn) – Prestonpans Jn"	69	67	9	67	Y	E	Y	Y	Y	
Scotland	0978	3	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	Y	"E
R1"	Y	Y	Y	"R1Prohibited between Craigentinny and
Calton South Tunnel"
Scotland	0978	4	SC147	ECM9	"Calton South Tunnel – Waverley East
End"	0	29	0	21	Y	N	Y	Y	Y	
Scotland	0978	5	SC147	ECM9	"Waverley East End – Edinburgh
Waverley"	0	21	0	00	Y	N	Y	Y	Y	
Scotland	0978	6	SC147	EGM4	"Edinburgh Waverley – Waverley West
End (South Lines)"	0	00	0	15	Y	N	Y	Y	Y	
Scotland	0978	7	SC147	ECN1	"Edinburgh Waverley – Waverley West
End (North Lines)"	0	00	0	15	Y	N	Y	Y	Y	
Scotland	0978	8	SC147	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	Y	N	Y	Y	Y	
Scotland	0978	9	SC147	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	Y	N	Y	Y	Y	
Scotland	0978	10	SC147	EGM2	"Haymarket – Haymarket East Jn (South
Lines)"	46	02	45	72	Y	N	Y	Y	Y	
Scotland	0978	11	SC147	ECN2	"Haymarket – Haymarket East Jn (North
Lines)"	1	19	1	29	Y	N	Y	Y	Y	
Scotland	0978	12	SC147	EGM2	"Haymarket East Jn – Haymarket Central
Jn (South Lines)"	45	72	45	35	Y	N	Y	Y	Y	
Scotland	0978	13	SC147	ECN2	"Haymarket East Jn – Haymarket Central
Jn (North Lines)"	1	29	1	66	Y	N	Y	Y	Y	
Scotland	0978	14	SC147	EGM2	"Haymarket Central Jn – Haymarket West
Jn (South Lines)"	45	35	44	73	Y	N	Y	Y	Y	
Scotland	0978	15	SC147	ECN2	"Haymarket Central Jn – Haymarket West
Jn (North Lines)"	1	66	2	41	Y	N	Y	Y	Y	
Scotland	0978	16	SC149	NBK	North Berwick – Drem Jn	22	22	18	15	Y	N	N	N	N	
Scotland	0978	17	SC151	LHS1	"Portobello – Leith South Yard (Goods
Line)"	0	00	2	20	N	N	N	N	N	
