Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Anglia	0401	1	EA1310	SAR1	South Acton Jn – Gunnersbury Jn	2	52	3	12	Y	Y	N	N	N	N	N	
Anglia	0401	2	EA1310	SAR2	Gunnersbury Jn – Richmond	9	72	12	39	Y	Y	N	N	N	N	N	
Anglia	0401	3	EA1320	CRC1/2	"Route Boundary (MD145) (Camden Jn) –
Camden Road West Jn"	5	42	5	10	Y	Y	Y	"EH
R1"	N	Y	N	R1Prohibited with footsteps fitted
Anglia	0401	4	EA1320	BOK1	"Camden Road West Jn – Camden Road
Central Jn"	5	10	4	64	Y	Y	Y	EH	N	Y	EH	
Anglia	0401	5	EA1320	CRF1	"Camden Road Central Jn – Route
Boundary (LN115) (North London Incline)"	0	51	0	20	Y	Y	Y	"EH
R1"	N	Y	EH	R1Prohibited with footsteps fitted
Anglia	0401	6	EA1320	BOK1	"Camden Road Central Jn – Canonbury
West Jn"	4	64	3	12	Y	Y	Y	EH	N	Y	N	
Anglia	0401	7	EA1320	CFP	"Canonbury West Jn – Route Boundary
(LN110) (Finsbury Park)"	3	12	3	20	Y	Y	Y	N	N	Y	N	
Anglia	0401	8	EA1320	BOK1	"Canonbury West Jn – Dalston Western
Jn"	3	12	2	21	Y	Y	Y	EH	N	Y	N	
Anglia	0401	9	EA1320	DWW1	"Dalston Western Jn - Navarino Road Jn
(Change of Mileage)"	2	21	1	52	Y	Y	Y	EH	N	Y	N	
Anglia	0401	10	EA1320	DWW2	"Navarino Road Jn (Change of Mileage) –
Lea Jn"	1	11	3	19	Y	Y	Y	EH	N	Y	N	
Anglia	0401	11	EA1320	DWW2	Lea Jn – Channelsea North Jn	3	19	3	32	Y	Y	Y	EH	N	Y	N	
Anglia	0401	12	EA1320	DWW2	"Channelsea North Jn – Channelsea
South Jn"	3	32	3	33	Y	Y	Y	EH	N	Y	N	
Anglia	0401	13	EA1320	DWW2	Channelsea South Jn – Stratford	3	33	3	74	N	N	N	N	N	N	N	
Anglia	0401	14	EA1325	BOK1	"Limit of reversible working DNL –
Network Rail Boundary (TFL ELL)"	3	38	2	17	"R1
R2
R3"	"R1
R2
R3"	N	N	N	N	N	"R1Can only run as part of the Track
Recording Unit
R2Can only run when authorised by Rail
for London and only run or operate
under Special Traffic Notice subject to
any operational restrictions published
within the notice
R315mph through platforms and not to
exceed 20mph on the Infrastructure"
