Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Anglia	0405	1	EA1390	TLL	"Barking Tilbury Line Jn East – Former
Tilbury West Jn"	7	60	22	06	Y	Y	N	N	N	N	N	
Anglia	0405	2	EA1390	TLL	Former Tilbury West Jn – Pitsea Jn	22	06	32	43	Y	Y	N	N	N	N	N	
Anglia	0405	3	EA1400	GFB	Gas Factory Jn – Bow Jn	2	57	3	47	Y	Y	N	N	N	N	N	
Anglia	0405	4	EA1410	FSS2	Upminster – Upminster East Jn	15	20	15	39	Y	Y	N	N	N	N	N	
Anglia	0405	5	EA1410	UPG	Upminster East Jn – West Thurrock Jn	0	00	6	56	Y	Y	N	N	N	N	N	
Anglia	0405	6	EA1420	THN	Thames Haven Jn – Thames Haven	26	41	30	18	Y	Y	N	N	N	N	N	
Anglia	0405	7	EA1430	ESK	East Suffolk Jn – Westerfield Jn	69	41	73	23	Y	Y	Y	N	N	N	N	
Anglia	0405	8	EA1430	ESK	Westerfield Jn – Oulton Broad North Jn	73	23	116	27	Y	Y	N	N	N	N	N	
Anglia	0405	9	EA1440	FEL	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	Y	Y	Y	N	N	N	N	
Anglia	0405	10	EA1440	FEL	Felixstowe Beach Jn – Felixstowe town	83	57	84	30	Y	Y	Y	N	N	N	N	
Anglia	0405	11	EA1450	TFN	"Trimley – Port of Felixstowe North Quay
Terminal"	0	00	0	18	Y	Y	N	N	N	N	N	
Anglia	0405	12	EA1460	FED	Felixstowe Beach Jn – Felixstowe Beach	83	57	86	34	Y	Y	N	N	N	N	N	
Anglia	0405	13	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	Y	Y	Y	N	N	Y	N	
Anglia	0405	14	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	Y	Y	R1	N	N	R1	N	R115mph Reedham up platform
Anglia	0405	15	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	Y	Y	R1	N	N	R1	N	R115mph Oulton Broad North up platform
Anglia	0405	16	EA1480	WHC1	"Whitlingham Jn – North Walsham (End of
Station Loop)"	1	69	16	30	Y	Y	N	N	N	N	N	
Anglia	0405	17	EA1480	WHC1	"North Walsham (End of Station Loop) –
Change of Mileage (Site of Former
Roughton Road Jn)"	16	30	24	00	Y	Y	N	N	N	N	N	
Anglia	0405	18	EA1480	WHC2	"Change of Mileage (Site of Former
Roughton Road Jn) – Change of Mileage
(Site of Former Runton East Jn)"	11	54	13	48	Y	Y	N	N	N	N	N	
Anglia	0405	19	EA1480	WHC3	"Change of Mileage (Site of Former
Runton East Jn) – Cromer"	45	64	46	42	Y	Y	N	N	N	N	N	
Anglia	0405	20	EA1490	CRS	"Cromer Jn – Network Rail Boundary
(North Norfolk Railway)"	46	27	42	69	Y	Y	N	N	N	N	N	
Anglia	0405	21	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	Y	Y	Y	N	N	Y	N	
Anglia	0405	22	EA1500	RBY	"Breydon Access No24 LC (EA1510) –
Yarmouth"	19	13	20	45	Y	Y	Y	N	N	Y	N	
