Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1059	1	SW110	WPH2	"Portsmouth and Southsea High Level
– Portsmouth Harbour
*Platforms 4 and 5 RA7
*Platforms 1 and 3 RA4
[Duplicated on SO520]"	44	50	45	36	7*	R1	R1Prohibited on the Down line
Kent-Sussex-Wessex	1059	2	SW115	BAE1	"Worting Jn – Connection to
Ludgershall Branch line"	51	15	66	27	8	Y	
Kent-Sussex-Wessex	1059	3	SW115	LUD1	"Connection to main Up line (BAE1) –
Red Post Jn"	66	27	67	61	8	Y	
Kent-Sussex-Wessex	1059	4	SW115	LUD2	Red Post Jn – Ludgershall	0	00	5	64	8	N	
Kent-Sussex-Wessex	1059	5	SW115	BAE1	"Connection to Ludgershall Branch line
– Laverstock North Jn"	66	27	82	05	8	Y	
Kent-Sussex-Wessex	1059	6	SW115	LAV	"Laverstock North Jn – Laverstock
South Jn"	82	05	82	39	8	Y	
Kent-Sussex-Wessex	1059	7	SW115	BAE1	"Laverstock North Jn – Salisbury
Tunnel Jn"	82	05	82	36	8	Y	
Kent-Sussex-Wessex	1059	8	SW115	BAE1	"Salisbury Tunnel Jn – Fisherton Short
Mile Change of Mileage"	82	36	83	72	8	"R1
R2"	"R1Prohibited Salisbury platform 1 (Reception line)
R2Prohibited from Salisbury West bay platform 5"
Kent-Sussex-Wessex	1059	9	SW115	BAE2	"Fisherton Short Mile Change of
Mileage – Wilton Jn"	84	00	85	37	8	Y	
Kent-Sussex-Wessex	1059	10	SW115	BAE2	Wilton Jn – Gillingham	85	37	105	23	7	R1	"R1Prohibited between Templecombe and Sherbourne on the Up Exeter
line"
Kent-Sussex-Wessex	1059	11	SW115	BAE2	Gillingham – Yeovil Jn	105	23	122	48	6	Y	
Kent-Sussex-Wessex	1059	12	SW115	BAE2	"Yeovil Jn – Route Boundary (GW610)
(Exeter St Davids Jn)"	122	48	164	30	6	R1	R1Prohibited between Feniton and Whimple on the Single line
Kent-Sussex-Wessex	1059	13	SW120	PAA1	Pirbright Jn – Ash Vale Jn	29	39	32	30	8	Y	
Kent-Sussex-Wessex	1059	14	SW120	PAA1	Ash Vale Jn – Change of ELR	32	30	36	75	7	R1	"R1Prohibited between Aldershot North Jn and Aldershot on the Up
Alton line"
Kent-Sussex-Wessex	1059	15	SW120	PAA2	"Change of ELR – Connection to
Farnham Depot"	39	22	42	70	7	Y	
Kent-Sussex-Wessex	1059	16	SW120	PAA2	Connection to Farnham Depot – Alton	42	70	49	13	7	Y	
Kent-Sussex-Wessex	1059	17	SW125	BKE	"Route Boundary GW500 (Southcote
Jn) – Basingstoke"	37	76	51	39	8	R1	R1Prohibited Basingstoke No 6 GW Siding
Kent-Sussex-Wessex	1059	18	SW130	ECR	Eastleigh East Jn – Romsey	73	35	80	47	8	Y	
Kent-Sussex-Wessex	1059	19	SW135	ETF	Eastleigh West Jn – Fareham	73	42	84	21	8	Y	
