Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	380	390	507	508	Notes
London-North-Western-North	0863	1	NW5010	SCQ2	"Change of Mileage (Site of Former Milton Jn) –
Change of Mileage (Site of Former Leek Brook Jn)"	0	00	6	65	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0863	2	NW5010	SCQ3	"Change of Mileage (Site of Former Leek Brook Jn)
– Caldon Quarry"	0	00	8	01	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0863	3	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	N	"H
R1
R2"	N	N	"1Prohibited Heaton Norris Up Goods Loop
2Prohibited between Denton Jn and Guide Bridge
Station Jn"
London-North-Western-North	0863	4	NW5012	NSS	"Route Boundary (LN3505) (North Stafford Jn) –
Stoke Jn"	1	40	0	00	N	N	N	N	
London-North-Western-North	0863	5	NW5013	DJO1	"Denton Jn – Change of Mileage (Site of Former
Crowthorne Jn)"	4	10	5	28	N	H	N	N	
London-North-Western-North	0863	6	NW5013	DJO2	"Change of Mileage (Site of Former Crowthorne Jn)
– Change of Mileage (Site of Former Ashton Moss
South Jn)"	0	53	1	19	N	H	N	N	
London-North-Western-North	0863	7	NW5013	AMJ	"Change of Mileage (Site of Former Ashton Moss
South Jn) – Ashton Moss North Jn"	0	00	0	40	N	H	N	N	
London-North-Western-North	0863	8	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	N	N	N	N	
London-North-Western-North	0863	9	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	N	N	N	N	
London-North-Western-North	0863	10	NW5015	HAJ	Dinting West Jn – Hyde Jn	11	66	6	16	N	N	N	N	
London-North-Western-North	0863	11	NW5015	HAJ	Hyde Jn – Guide Bridge West Jn	6	16	5	10	N	N	N	N	
London-North-Western-North	0863	12	NW5015	HAJ	Guide Bridge West Jn – Guide Bridge Station Jn	5	10	4	73	N	N	N	N	
London-North-Western-North	0863	13	NW5015	HAJ	Guide Bridge Station Jn – Ashburys East Jn	4	73	1	56	N	N	N	N	
London-North-Western-North	0863	14	NW5015	HAJ	Ashburys East Jn – Ashburys West Jn	1	56	1	36	N	N	N	N	
London-North-Western-North	0863	15	NW5015	HAJ	Ashburys West Jn – Ardwick Jn	1	36	0	40	N	N	N	N	
London-North-Western-North	0863	16	NW5017	DSD	Dinting South Jn – Dinting East Jn	0	72	1	05	N	N	N	N	
London-North-Western-North	0863	17	NW5019	GDW	Glossop – Dinting South Jn	0	01	0	72	N	N	N	N	
London-North-Western-North	0863	18	NW5019	GDW	Dinting South Jn – Dinting West Jn	0	72	1	05	N	N	N	N	
London-North-Western-North	0863	19	NW5021	SAJ	Stalybridge Jn – Guide Bridge West Jn	2	08	0	04	N	N	N	N	
London-North-Western-North	0863	20	NW6001	COL	Manchester Piccadilly East Jn – Castlefield Jn	188	48	189	67	N	Y	N	N	
London-North-Western-North	0863	21	NW6001	COL	Castlefield Jn – Ordsall Lane Jn	189	67	190	28	N	R1	N	N	120mph on Down and Up lines
London-North-Western-North	0863	22	NW6001	OLW	Ordsall Lane Jn – Windsor Bridge South Jn	190	28	191	01	N	H	N	N	
London-North-Western-North	0863	23	NW6001	MVE1	"Windsor Bridge South Jn – Windsor Bridge North
Jn"	1	55	1	66	N	H	N	N	
