Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	170	172	180	185	220	221	222	Notes
London-North-Eastern	1004	1	LN736	MAC3	Manton Wood – Brancliffe East Jn	58	54	53	57	"R1
R2"	N	N	Y	N	N	N	"R1Prohibited between Manton Wood and Worksop East
R2Prohibited between Shireoaks East Jn and Brancliffe
East Jn"
London-North-Eastern	1004	2	LN736	MAC3	Brancliffe East Jn – Woodburn Jn	53	57	42	29	R1	N	N	Y	R1	R1	R1	"R1Prohibited  between Brancliffe East Jn and Woodhouse
Jn"
London-North-Eastern	1004	3	LN736	NUJ2	"Woodburn Jn – Site of Former
Nunnery Jn"	42	29	41	68	Y	N	N	R1	Y	Y	Y	R15mph Darnall Down platform
London-North-Eastern	1004	4	LN736	NUJ1	"Site of Former Nunnery Jn – Nunnery
Main Line Jn"	159	33	158	77	Y	N	N	Y	Y	Y	Y	
London-North-Eastern	1004	5	LN738	MWN	"reat Coates No. 1 – Network Rail
Boundary (ABP)"	108	34	108	44	N	N	N	N	N	N	N	
London-North-Eastern	1004	6	LN740	MWN	"arsh West Jn – Network Rail
Boundary (ABP)"	107	69	108	44	N	N	N	N	N	N	N	
London-North-Eastern	1004	7	LN740	PYE2	"Network Rail Boundary (ABP) – Site of
Former Queens Road Jn"	4	33	0	00	N	N	N	N	N	N	N	
London-North-Eastern	1004	8	LN740	PYE1	"Site of Former Queens Road Jn –
Immingham East Jn"	106	50	106	31	N	N	N	N	N	N	N	
London-North-Eastern	1004	9	LN740	BRI2	"Immingham East Jn – Humber Road
Jn"	106	31	104	05	N	N	N	N	N	N	N	
London-North-Eastern	1004	10	LN741	HAU	Habrough – Ulceby South Jn	0	32	1	45	Y	N	N	Y	N	N	N	
London-North-Eastern	1004	11	LN742	KIL2	"Killingholme – Immingham West
Change of Mileage"	2	70	0	00	N	N	N	N	N	N	N	
London-North-Eastern	1004	12	LN742	KIL1	"Immingham West Change of Mileage –
Humber Rd Jn"	105	10	104	05	N	N	N	N	N	N	N	
London-North-Eastern	1004	13	LN742	BRI2	Humber Rd Jn – Ulceby North Jn	104	05	100	44	N	N	N	N	N	N	N	
London-North-Eastern	1004	14	LN742	BRI1	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	Y	N	N	Y	N	N	N	
London-North-Eastern	1004	15	LN744	BAR	Ulceby North Jn – Barton on Humber	100	44	110	18	Y	N	N	Y	N	N	N	
London-North-Eastern	1004	16	LN746	TYB1	"Cottam Power Station – Clarborough
Jn"	71	79	68	32	N	N	N	N	N	N	N	
London-North-Eastern	1004	17	LN748	WHR	"Retford Western Jn – Thrumpton West
Jn"	64	29	63	28	N	N	N	N	N	N	N	
London-North-Eastern	1004	18	LN750	MAC3	Woodburn Jn – Deepcar	42	29	33	35	N	N	N	N	N	N	N	
London-North-Eastern	1004	19	LN752	DOW	rawby Jn – Marshgate Jn	33	34	0	03	R1	N	R2	R1	N	N	R2	"R1Prohibited Scunthorpe Up Bay platforms
R2Prohibited between Wrawby Jn and Thorne Jn"
London-North-Eastern	1004	20	LN754	SAN	Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	
