Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	150	153	156	158	159	165	Notes
Kent-Sussex-Wessex	0981	1	SW180	BTH2	"Route Boundary Sussex (Ewell
East) – Epsom [Duplicated in SO680]"	17	33	18	73	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	2	SW180	BTH3	"Epsom (Change of ELR) –
Leatherhead [Duplicated in SO680]"	14	27	18	02	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	3	SW180	BTH3	"Leatherhead – Route Boundary
Sussex (Horsham) [Duplicated in
SW180]"	18	02	21	09	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	4	SW180	BTH3	"Route Boundary Sussex
(Leatherhead) – Horsham jn (SO520)
[Duplicated in SO680]"	21	09	35	34	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	5	SW185	MPC	Motspur Park – Chessington South	9	57	13	73	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	6	SW190	NMS1	New Malden – Fulwell Jn	9	62	14	53	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	7	SW190	NMS2	Fulwell Jn – Shepperton	12	56	18	73	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	8	SW195	HAM	"Hampton Court Jn – Hampton Court
Up line"	13	27	14	76	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	9	SW195	HAM	"Hampton Court Jn – Hampton Court
Down line"	13	27	14	76	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	10	SW200	NGL	Hampton Court Jn – Effingham Jn	13	27	21	04	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	11	SW200	NGL	Effingham Jn – Guilford	21	04	29	70	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	12	SW205	LEJ	Leatherhead – Effingham Jn	18	02	22	15	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0981	13	SW210	RDG1	Clapham Jn  – Point Pleasant Jn	3	74	5	09	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	0981	14	SW210	RDG1	Point Pleasant Jn – Richmond	5	09	9	57	Y	N	N	N	"R1
R2
R3"	"R1
R2
R3"	Y	"R140mph North Sheen (Up direction)
R240mph Mortlake (Up direction)
R330mph Richmond (Up direction)"
Kent-Sussex-Wessex	0981	15	SW210	RDG1	Richmond – Virginia Water	9	57	23	15	Y	N	N	N	"R1
R2
R3
R4
R5
R6
R7"	"R1
R2
R3
R4
R5
R6
R7"	Y	"R150mph Egham (Up direction)
R240mph Ashford (Up direction)
R330mph St Margarets (Up direction)
R420mph Twickenham (Down direction)
R550mph Felltham (Down direction)
R650 mph Ashford (Down direction)
R720mph Staines (Down direction)"
