Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	171	172	175	180	220	221	222	Notes
Anglia	0376	1	EA1410	UPG	Upminster East Jn – West Thurrock Jn	0	00	6	56	N	N	N	N	N	N	N	
Anglia	0376	2	EA1420	THN	Thames Haven Jn – Thames Haven	26	41	30	18	N	N	N	N	N	N	N	
Anglia	0376	3	EA1430	ESK	East Suffolk Jn – Westerfield Jn	69	41	73	23	N	N	N	N	N	N	N	
Anglia	0376	4	EA1430	ESK	"Westerfield Jn – Oulton Broad North
Jn"	73	23	116	27	N	N	N	N	N	N	N	
Anglia	0376	5	EA1440	FEL	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	N	N	N	N	N	N	N	
Anglia	0376	6	EA1440	FEL	"Felixstowe Beach Jn – Felixstowe
town"	83	57	84	30	N	N	N	N	N	N	N	
Anglia	0376	7	EA1450	TFN	"Trimley – Port of Felixstowe North
Quay Terminal"	0	00	0	18	N	N	N	N	N	N	N	
Anglia	0376	8	EA1460	FED	"Felixstowe Beach Jn – Felixstowe
Beach"	83	57	86	34	N	N	N	N	N	N	N	
Anglia	0376	9	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	N	N	N	N	N	N	Y	
Anglia	0376	10	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	N	N	N	N	N	N	N	
Anglia	0376	11	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	N	N	N	N	N	N	N	
Anglia	0376	12	EA1480	"WHC
1"	"Whitlingham Jn – North Walsham
(End of Station Loop)"	1	69	16	30	N	N	N	N	N	N	N	
Anglia	0376	13	EA1480	"WHC
1"	"North Walsham (End of Station Loop)
– Change of Mileage (Site of Former
Roughton Road Jn)"	16	30	24	00	N	N	N	N	N	N	N	
Anglia	0376	14	EA1480	"WHC
2"	"Change of Mileage (Site of Former
Roughton Road Jn) – Change of
Mileage (Site of Former Runton East
Jn)"	11	54	13	48	N	N	N	N	N	N	N	
Anglia	0376	15	EA1480	"WHC
3"	"Change of Mileage (Site of Former
Runton East Jn) – Cromer"	45	64	46	42	N	N	N	N	N	N	N	
Anglia	0376	16	EA1490	CRS	"Cromer Jn – Network Rail Boundary
(North Norfolk Railway)"	46	27	42	69	N	N	N	N	N	N	N	
Anglia	0376	17	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	N	N	N	N	N	N	N	
Anglia	0376	18	EA1500	RBY	"Breydon Access No24 LC (EA1510) –
Yarmouth"	19	13	20	45	N	N	N	N	N	N	N	
Anglia	0376	19	EA1510	RBY	"Reedham Jn – Breydon Access No24
LC"	12	34	19	13	N	N	N	N	N	N	N	
Anglia	0376	20	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	N	N	N	N	N	N	N	
Anglia	0376	21	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	N	N	N	N	N	N	N	
