Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Scotland	1077	1	SC197	WRO	"Kittybrewster – Waterloo Goods (Goods
Line)"	1	62	0	03	8	N	N	Y	N	N	N	
Scotland	1077	2	SC199	DFN	Keith Jn – End of Line	53	06	53	36	10	N	N	Y	N	N	N	
Scotland	1077	3	SC203	RSW	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	10	N	N	Y	N	N	N	
Scotland	1077	4	SC203	WCK	Inverness platforms 5-7 – Rose Street Jn	0	02	0	18	"5
R1"	N	N	N	N	N	N	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC011 applies until
30/09/2014"
Scotland	1077	5	SC203	WCK	Rose Street Jn – Invergordon	0	18	31	37	"5
R1"	N	N	N	N	N	N	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC011 applies until
30/09/2014"
Scotland	1077	6	SC203	WCK	Invergordon – Georgemas Jn	31	37	147	20	5	N	N	N	N	N	N	
Scotland	1077	7	SC203	WCK	Georgemas Jn – Wick	147	20	161	35	3	N	N	N	N	N	N	
Scotland	1077	8	SC205	KYL	Dingwall – Kyle of Lochalsh	0	19	63	64	5	N	N	N	N	N	N	
Scotland	1077	9	SC207	TSO	Georgemas Jn – Thurso	0	00	6	50	5	N	N	N	N	N	N	
