Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0480	1	MD405	LSC2	"Milverton Change of ELR – Coventry
South Jn"	0	00	8	45	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	2	MD410	CNN	"oventry North Jn – Nuneaton South
Jn"	0	00	9	53	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	3	MD415	HSA	Hatton Station Jn – Bearley Jn	18	12	12	48	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	4	MD415	HSA	"Bearley Jn – Stratford Upon Avon (End
of Headshunt)"	12	48	8	63	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	5	MD420	HHW	atton North Jn – Hatton West Jn	18	25	17	62	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	6	MD425	TSB	Tyseley South Jn – Bearley Jn	0	00	17	71	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	7	MD430	OWW	"oute Boundary (GW370) (Droitwich
Spa) – Kidderminster"	130	40	135	46	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	8	MD430	OWW	idderminster – Stourbridge North Jn	135	46	142	51	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	9	MD435	DCL	"Small Heath South Jn – Site of Former
Handsworth Jn"	126	59	132	47	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	10	MD435	HSJ	"Site of Former Handsworth Jn –
Smethwick Jn"	132	47	133	32	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	11	MD435	GSJ2	Smethwick Jn – Stourbridge North Jn	133	32	141	06	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	12	MD440	GSJ1	alton Jn – Smethwick Jn	3	64	4	08	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	13	MD445	SJS	Stourbridge Jn – Stourbridge Town	142	16	142	78	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0480	14	MD450	OWW	tourbridge North Jn – Round Oak	142	15	146	13	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	15	MD455	KWD	"Kingswinford Jn – Network Rail
Boundary"	144	33	145	60	N	N	N	N	N	N	N	N	N	N	"Line out of use
NME/2005/LNW284"
London-North-Western-South	0480	16	MD460	SJT1	"Kineton MOD Branch – Burton Dassett
(MOD Kineton)"	22	60	25	60	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0480	17	MD501	DBP1	"Route Boundary (LN3501) (London
Road Jn) – Kingsbury Jn"	23	30	29	39	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	18	MD501	DBP2	Kingsbury Jn – Water Orton East Jn	29	39	33	22	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	19	MD501	DBP3	"Water Orton East Jn (Change of
Mileage) – Landor Street Jn"	34	43	40	60	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	20	MD501	DBP3	Landor Street Jn – Proof House Jn	40	60	41	51	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	21	MD545	KJW	"Kingsbury Jn – Whitacre Jn (Change of
Mileage)"	29	39	31	69	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	22	MD555	NWO	"uneaton North Junction – Lmit of
Electrification"	10	18	10	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	23	MD555	NWO	"imit of Electrification – Whitacre West
Junction"	10	00	0	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0480	24	MD555	DBP3	"Whitacre West Jn – Water Orton East
Jn"	31	69	34	43	N	N	N	N	N	N	N	H	N	N	
