Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	Notes
London-North-Western-South	0513	1	MD130	WSA	Watford Junction – St Albans Abbey	0	00	6	45	7	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	2	MD136	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	3	MD136	WCL	Railnet Jn – Willesden Carriage Shed South	1	11	2	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	4	MD136	WCL	"illesden Carriage Shed South – Connection
with Yard line"	2	00	2	60	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	5	MD136	WEF1	"onnection with Yard line – Wembley Central
Jn"	2	60	2	76	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	6	MD137	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	7	MD137	UHL	Railnet Jn – Wembley Yard South Jn	1	11	1	62	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	8	MD137	WEF1	"embley Yard South Jn – Wembley Central
Jn"	1	62	2	76	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	9	MD140	LEC1	"Bletchley South Jn –Bletchley North Jn
(Change of Mileage)"	46	41	46	59	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	10	MD140	BBM	"Bletchley North Jn (Change of Mileage) –
Limit of electrification (Bletchley TMD)"	0	11	0	21	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	11	MD140	BBM	"Limit of electrification (Bletchley TMD) –
Route Boundary (LN3140) (Bedford)"	0	21	16	07	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	12	MD145	CRC2	"Route Boundary (EA1320) (Camden Road
West Jn) – Camden Jn (North DC lines)"	5	42	5	78	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	13	MD150	KGW	"Route Boundary (EA1310) (Kensal Green
Jn) – Willesden Suburban Jn"	5	25	5	36	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	14	MD155	KGC	"Route Boundary (EA1310) (Kensal Green
Jn) – Harlesden Jn"	0	21	1	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	15	MD160	WMB	"Route Boundary (EA1310) (Willesden High
Level Jn) – Mitre Bridge Jn"	0	09	0	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	16	MD166	WLL	"Route Boundary (SO250) (North Pole Jn)
– Mitre Bridge Jn"	5	65	5	67	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	17	MD166	WLL	"itre Bridge Jn – West London Jn
(Willesden)"	5	67	6	19	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	18	MD166	LLG	"est London Jn (Willesden) – Wembley
Central Jn (Willesden Relief lines)"	0	12	2	59	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	19	MD167	WLL	"itre Bridge Jn – West London Jn
(Willesden)"	5	67	6	19	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	20	MD167	WAW	"West London Jn (Willesden) – Route
Boundary (EA1360) (Acton Wells)"	6	19	6	76	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	21	MD170	ACW	"Route Boundary (EA1360) (Acton Canal
Wharf Jn) – Willesden Jn"	0	11	0	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	22	MD175	BPH	"Bridge Street LC – Site of Former Bridge
Street Jn"	4	56	4	29	8	N	N	N	N	N	N	"Line out of use
NC/G1/2014/LNW443v2"
London-North-Western-South	0513	23	MD175	BDN	"Site of Former Bridge Street Jn – Site of
Former Duston North Jn"	0	00	0	18	8	N	N	N	N	N	N	"Line out of use
NC/G1/2014/LNW443v2"
London-North-Western-South	0513	24	MD175	NMH	"ite of Former Duston North Jn –
Northampton South Jn"	0	29	0	65	8	N	N	N	N	N	N	"Line out of use
NC/G1/2014/LNW443v2"
London-North-Western-South	0513	25	MD180	RTS	Rugby Trent Valley Jn – New Bilton	0	00	0	79	7	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0513	26	MD232	NMA	bbey Jn – Midland Yard Jn	9	60	10	09	8	Y	Y	Y	Y	Y	Y	
