Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	170	180	185	220	221	Notes
Scotland	0974	1	SC065	GOU2	Change of ELR – Bishopton	107	70	112	60	N	N	N	N	N	
Scotland	0974	2	SC065	GOU2	Bishopton – Gourock	112	60	126	58	N	N	N	N	N	
Scotland	0974	3	SC067	WYS	Wemyss Bay Jn – Wemyss Bay	0	00	10	03	N	N	N	N	N	
Scotland	0974	4	SC073	LGS1	Kilwinning Jn – Change of ELR	25	65	30	44	N	N	N	N	N	
Scotland	0974	5	SC073	LGS2	Change of ELR – Fairlie High Siding	30	44	38	69	N	N	N	N	N	
Scotland	0974	6	SC073	LGS2	Fairlie High Siding – Largs	38	69	42	07	N	N	N	N	N	
Scotland	0974	7	SC077	ARH	"Ardrossan South Beach – Adrossan
Harbour"	30	44	31	35	N	N	N	N	N	
Scotland	0974	8	SC079	HUN	"Hunterston – Hunterston Low Level
Sdgs (Goods Line)"	0	00	0	36	N	N	N	N	N	
Scotland	0974	9	SC081	BYL	Byrehill Jn – Dubbs Jn	0	60	0	00	N	N	N	N	N	
Scotland	0974	10	SC085	AYH1	Ayr Harbour – Newton Jn (Goods Line)	0	17	0	00	N	N	N	N	N	
Scotland	0974	11	SC087	ANN	Newton Jn – Mauchline (Goods Line)	39	42	50	16	N	N	N	Y	Y	
Scotland	0974	12	SC089	KCH1	Annbank – Change of ELR	43	52	48	73	N	N	N	N	N	
Scotland	0974	13	SC089	KCH2	"Change of ELR – Killoch Colliery (Goods
Line)"	0	00	3	43	N	N	N	N	N	
Scotland	0974	14	SC091	WAT	"Dalrymple Jn – Chalmerston (Goods
Line)"	43	53	52	70	N	N	N	N	N	
Scotland	0974	15	SC093	SCM1	Motherwell – Mossend South	89	51	91	08	Y	N	Y	Y	Y	
Scotland	0974	16	SC093	SCM2	Mossend South – Whifflet North Jn	91	08	94	05	Y	N	Y	Y	Y	
Scotland	0974	17	SC093	SCM3	"Whifflet North Jn – Gartsherrie South Jn
(Limit of OLE)"	94	05	95	64	Y	N	"R1
R2"	Y	Y	"R115mph SCM3/93 Bank Street
underbridge 94m55ch Up line (between
Coatbridge Jn and Coatbridge Central)
R215mph Coatbridge Central Down
platform"
Scotland	0974	18	SC093	SCM3	"Gartsherrie South Jn (Limit of OLE) –
Greenhill Lower Jn"	95	64	106	63	Y	N	R1	Y	Y	R115mph Greenfaulds Up platform
Scotland	0974	19	SC097	SYE	"Whifflet South Jn – Sunnyside Jn
(Goods Line)"	9	63	8	43	N	N	Y	N	N	
Scotland	0974	20	SC099	RSL2	Whifflet North Jn – Change of ELR	0	00	0	34	Y	N	Y	Y	Y	
Scotland	0974	21	SC099	RSL1	Change of ELR – Langloan Jn	6	59	6	34	Y	N	Y	Y	Y	
Scotland	0974	22	SC099	RCB	Langloan Jn – Rutherglen East Jn	6	34	0	04	Y	Y	Y	Y	Y	
