Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT MOD)	MK4	Notes
London-North-Western-North	0880	1	NW7001	MVN2	Castleton East Jn – Hall Royd Jn	8	52	19	61	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	2	NW7001	MVN2	"Hall Royd Jn – Route Boundary
(LN854) (Turners Lane Jn)"	19	61	22	62	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	3	NW7005	CEH	"Castleton East Jn –  Castleton North
Jn"	0	00	0	37	Y	Y	Y	N	N	N	N	
London-North-Western-North	0880	4	NW7005	CPI1	"Castleton South Jn – Castleton North
Jn"	8	21	8	50	Y	Y	Y	N	N	N	N	
London-North-Western-North	0880	5	NW7005	CPI2	"Castleton North Jn – Network Rail /
East Lancashire Railway Boundary
(Hopwood)"	8	50	9	04	Y	Y	Y	N	N	N	N	
London-North-Western-North	0880	6	NW7006	SFO	"Todmorden Viaduct Jn – Stansfield
Hall Jn"	0	0	0	18	Y	Y	Y	N	N	N	N	
London-North-Western-North	0880	7	NW7007	FCO	Farington Curve Jn – Ormskirk	25	64	12	15	Y	Y	N	N	N	N	N	
London-North-Western-North	0880	8	NW7009	FHR1	"Farington Curve Jn - Lostock Hall
Depot"	0	00	0	75	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	9	NW7009	FHR2	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	10	NW7009	FHR3	"Lostock Hall Jn – Change of ELR (Site
of Former Bamber Bridge Jn)"	1	42	2	10	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	11	NW7009	FHR4	"Change of ELR (Site of Former
Bamber Bridge Jn) – Blackburn Bolton
Jn"	2	10	10	11	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	12	NW7009	FHR4	Blackburn Bolton Jn – Blackburn	10	11	10	42	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	13	NW7009	FHR5	Blackburn – Daisyfield Jn	10	42	11	09	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	14	NW7009	FHR5	Daisyfield Jn – Gannow Jn	11	09	21	03	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	15	NW7009	FHR6	Gannow Jn – Hall Royd Jn	21	03	30	54	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	16	NW7011	LHL	Farington Jn - Limit of electrification	0	00	0	56	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	17	NW7011	LHL	"Limit of electrification - Lostock Hall Jn
(Lostock Hall Lines)"	0	56	0	77	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	18	NW7013	DJH	Daisyfield Jn – Hellifield	11	09	34	68	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	19	NW7015	PRG	"End of Line (Padiham Power Station
Sidings) – Rose Grove West Jn"	1	76	0	00	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0880	20	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	Y	Y	Y	N	N	N	Y	
London-North-Western-North	0880	21	NW7019	MPR2	"Thorpes Bridge Jn – Network Rail
Boundary (Metrolink (Down Up
Boundary at 2m 32ch))"	2	22	3	05	Y	Y	N	N	N	N	N	
