Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0414	1	EA1360	NJN	"Neasden Jn – Route Boundary (MD715)
(Neasden South Jn)"	6	56	6	51	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	2	EA1360	CAW	Neasden Jn – Acton Canal Wharf Jn	7	02	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	3	EA1360	ACW	"Acton Canal Wharf Jn – Route Boundary
(MD170) (Willesden Jn)"	0	35	0	11	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	4	EA1360	CAW	"Acton Canal Wharf Jn – Acton Wells Jn
(Change of Mileage)"	8	45	8	77	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	5	EA1360	WAW	"Acton Wells Jn (Change of Mileage) –
Route Boundary (MD167)  Willesden
West London Jn)"	6	19	6	76	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	6	EA1360	CAW	"Acton Wells Jn (Change of Mileage) –
Acton Wells Jn"	0	63	0	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	7	EA1370	GOJ	Gospel Oak Jn – Junction Rd Jn	0	00	0	58	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	8	EA1370	JRT2	"Junction Rd Jn – Route Boundary
(LN3210) (Carlton Rd Jn)"	2	42	2	38	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	9	EA1370	TAH1	Junction Rd Jn – Harringay Park Jn	2	42	4	15	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	10	EA1370	HPW	"Harringay Park Jn – Route Boundary
(LN165) (Harringay Jn)"	0	25	0	14	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	11	EA1370	TAH1	"Harringay Park Jn – South Tottenham
West Jn"	4	15	5	65	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	12	EA1370	TAH1	"South Tottenham West Jn – South
Tottenham East Jn"	5	65	5	73	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	13	EA1370	TAH2	"South Tottenham East Jn – Woodgrange
Park Jn"	5	73	11	79	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	14	EA1370	TAH3	"Woodgrange Park Jn – Barking Station
Jn"	11	79	13	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	15	EA1370	TAH3	"Barking Station Jn – Barking Tilbury Jn
West"	13	12	13	42	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	16	EA1370	TAH4	Barking Station Jn – Barking Platform 1	13	12	13	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0414	17	EA1380	FSS1	Fenchurch Street – Gas Factory Jn	0	00	2	57	3	"R1
R2"	N	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	"R1
R2"	"R1OPPOS and 10mph over bridge No. 590
between 1m 79ch and 2m 00ch
R2OPPOS and 10mph over Bridge Nos. 506 –
508 on Fast Lines between 0m 43ch and 0m
56ch"
