Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	325	345	357	357 MOD	Notes
Anglia	0379	1	EA1010	LTN1	"Liverpool Street platforms 1-10 –
Liverpool St (L) IECC"	0	00	0	22	Y	Y	Y	N	Y	Y	H	R1	Y	Y	"R1Prohibited Liverpool Street platforms 1,
2, 3 and 4"
Anglia	0379	2	EA1010	LVS	"Liverpool Street platforms 11-18 –
Liverpool St (L) IECC"	0	00	0	22	Y	Y	Y	N	Y	Y	H	Y	Y	Y	
Anglia	0379	3	EA1010	LTN1	"Liverpool St (L) IECC – Bethnal Green
East Jn"	0	22	1	10	Y	Y	Y	N	Y	Y	H	R1	Y	Y	"R1Prohibited Liverpool Street Station Throat
to Bethnal Green West Jn on the Down
and Up Suburban lines"
Anglia	0379	4	EA1010	LTN1	Bethnal Green East Jn – Mile End	1	10	2	02	Y	Y	Y	N	Y	Y	H	Y	Y	Y	
Anglia	0379	5	EA1010	LTN1	Mile End – Bow Jn	2	02	2	74	Y	Y	Y	N	Y	Y	H	Y	Y	Y	
Anglia	0379	6	EA1010	LTN1	Bow Jn – Carpenters Road South Jn	2	74	3	54	Y	Y	Y	N	Y	Y	H	Y	Y	Y	
Anglia	0379	7	EA1010	LTN1	"Carpenters Road South Jn – Stratford
Central Jn West"	3	54	3	70	Y	Y	Y	N	Y	Y	H	Y	Y	Y	
Anglia	0379	8	EA1010	LTN1	"Stratford Central Jn West – Stratford
Central Jn East"	3	70	3	75	Y	Y	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0379	9	EA1010	LTN1	"Stratford Central Jn East – Forest
Gate Jn"	3	75	5	63	Y	Y	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0379	10	EA1010	LTN1	"Forest Gate Jn – Ilford Depot London
End"	5	63	7	63	Y	Y	Y	N	Y	Y	Y	Y	"E
R1"	R1	R1Prohibited Ilford platform 3
Anglia	0379	11	EA1010	LTN1	"Ilford Depot London End – Seven
Kings"	7	63	8	45	R1	Y	Y	N	Y	Y	Y	Y	N	R2	"R1Prohibited with shoe gear fitted
R2Prohibited Seven Kings platforms 1 and
2 (Down Main) – with deflated
suspension"
Anglia	0379	12	EA1011	LTN1	Seven Kings – Romford Jn	8	45	12	39	R1	Y	Y	N	Y	Y	Y	Y	N	Y	R1Prohibited with shoe gear fitted
Anglia	0379	13	EA1011	LTN1	Romford Jn – Shenfield Jn	12	39	20	22	R1	Y	Y	N	Y	Y	Y	Y	N	"R2
R3"	"R1Prohibited with shoe gear fitted
R2Prohibited Gidea Park platform 1 and
50mph through platform 2 with deflated
suspension
R3Prohibited Brentwood Station platform 3
(Up Electric Line)"
Anglia	0379	14	EA1011	LTN1	Shenfield Jn – Witham Jn	20	22	38	55	R1	Y	Y	N	Y	Y	Y	N	N	N	R1Prohibited with shoe gear fitted
Anglia	0379	15	EA1011	LTN1	Witham Jn – Marks Tey Jn	38	55	46	49	R1	Y	Y	N	Y	Y	Y	N	N	N	R1Prohibited with shoe gear fitted
