Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	Notes
London-North-Western-South	0519	1	MD736	OXD	"oute Boundary (GW277) –Gavray
Junction"	29	25	19	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	2	MD736	OXD	avray Junction – Gates (Claydon)	19	00	12	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	3	MD736	OXD	ates (Claydon) – Buffer Stops	12	00	1	31	8	N	N	N	N	N	N	Line non operational
London-North-Western-South	0519	4	MD736	OXD	"uffer Stops – Flyover Junction (Change
of ELR)"	1	27	0	62	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	5	MD736	BFO	"lyover Junction (Change of ELR) –
Flyover Junction Summit"	0	00	0	68	7	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	6	MD736	DHF	"Flyover Junction Summit – Limit of
Electrification"	0	68	1	37	7	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	7	MD736	DHF	"imit of Electrification – Bletchley Flyover
North Jn"	1	37	1	61	7	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	8	MD736	DHF	"letchley Flyover North Jn – Denbigh Hall
South Jn"	1	61	1	73	7	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	9	MD740	BFO	"lyover Jn (Summit) – Fenny Stratford
Bletchley Flyover Jn"	0	68	1	59	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	10	MD745	BSG	Bicester South Junction – Gavray Junction	0	00	0	52	10	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	11	MD801	WSJ1	"Wolverhampton North Jn – Oxley, Stafford
Road Jn (Change of Mileage)"	143	52	142	79	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	12	MD801	WSJ2	"Oxley, Stafford Road Jn (Change of
Mileage) – Limit of Electrification"	143	02	143	65	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	13	MD801	WSJ2	Limit of Electrification – Madeley Jn	143	65	156	19	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	14	MD801	WSJ2	"Madeley Jn – Route Boundary (GW731)
(Abbey Foregate )"	156	19	170	46	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	15	MD805	OXC	ushbury (Oxley) Jn – Stafford Road Jn	1	02	0	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	16	MD810	MJI1	"Madeley Junction – Site of Former
Lightmoor Jn"	156	19	160	29	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0519	17	MD810	MJI2	"Site of Former Lightmoor Jn – Ironbridge
Power Station (NR Boundary)"	156	19	160	29	8	Y	Y	Y	Y	Y	Y	
