Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge								Notes
Scotland	1085	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12	
Scotland	1085	2	SC107	Edinburgh Waverley – Princes Street Gardens	Y *	R1	R1	R1	N	N	N	N	"R1W9 prohibited EXCEPT all
through routes Edinburgh
Waverley Station and Lines
W & Z between Edinburgh
Waverley and Princes Street
Gardens
W9 W8 W7 prohibited Lines
X & Y between Edinburgh
Waverley and Princes Street
Gardens"
Scotland	1085	3	SC107	"Princes Street Gardens – Haymarket Central
Jn"	Y *	Y	R1	R1	N	N	N	N	"R1W8 W9 ~prohibited both
Lines Haymarket North
Tunnel"
Scotland	1085	4	SC107	Haymarket Central Jn – Haymarket West Jn	Y	Y	Y	N	N	Y	N	N	
Scotland	1085	5	SC107	Haymarket West Jn – Newbridge Jn	Y *	Y	Y	Y	N	Y	N	N	
Scotland	1085	6	SC107	Newbridge Jn – Winchburgh Jn	Y *	Y	N	N	N	N	N	N	
Scotland	1085	7	SC107	Winchburgh Jn – Polmont Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1085	8	SC107	"Polmont Jn – Greenhill Upper Jn via Falkirk
High"	Y *	Y	N	N	N	N	N	N	
Scotland	1085	9	SC107	Greenhill Upper Jn – Cowlairs West Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1085	10	SC107	Cowlairs West Jn – Glasgow Queen Street	Y	N	N	N	N	N	N	N	
Scotland	1085	11	SC109	Polmont Jn – Grangemouth Jn	Y	Y	Y	N	N	N	N	N	
Scotland	1085	12	SC109	Grangemouth Jn – Carmuirs East Jn	Y *	Y	Y	Y	N	N	N	N	
Scotland	1085	13	SC109	Carmuirs East Jn – Carmuirs West Jn	Y	Y	Y	Y	N	N	N	N	
Scotland	1085	14	SC109	Carmuirs West Jn – Greenhill Lower Jn	Y	Y	Y	Y	N	N	N	N	
Scotland	1085	15	SC109	Greenhill Lower Jn – Greenhill Upper Jn	Y	Y	Y	Y	N	N	N	N	
Scotland	1085	16	SC110	Carmuirs East Jn – Larbert Jn	Y	Y	Y	N	N	N	N	N	
Scotland	1085	17	SC111	Newbridge Jn – Bathgate inc. Carmondean Jn	Y *	Y	Y	Y	N	Y	N	N	
Scotland	1085	18	SC113	Winchburgh Jn – Dalmeny Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1085	19	SC115	Cowlairs West Jn – Knightswood North Jn	Y	Y	Y	N	N	N	N	N	
Scotland	1085	20	SC1150	Maryhill Park Jn – Anniesland	Y	N	N	N	N	N	N	N	
Scotland	1085	21	SC117	Grangemouth  Jn – Grangemouth	Y *	Y	Y	Y	N	N	N	N	
Scotland	1085	22	SC119	Greenhill Upper Jn – Greenhill Lower Jn	Y	Y	Y	Y	N	N	N	N	
