Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325	333	Notes
London-North-Eastern	1035	1	LN928	SBF	"Shipley East Jn – Bradford Forster
quare"	205	54	208	50	N	N	N	N	N	N	Y	Y	H	Y	
London-North-Eastern	1035	2	LN930	SKS1	"Skipton Middle – Site of former
mbsay Jn"	222	68	220	64	N	N	N	N	N	N	Y	N	N	N	
London-North-Eastern	1035	3	LN930	SKS2	"Site of former Embsay Jn – Network
ail Boundary (Tilcon Siding)"	0	00	6	50	N	N	N	N	N	N	Y	N	N	N	
London-North-Eastern	1035	4	LN932	BIB	Shipley South Jn – Shipley West Jn	0	00	0	17	N	N	N	N	N	N	Y	Y	H	Y	
