Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	170	172	180	185	220	221	222	Notes
London-North-Eastern	0997	1	LN101	ECM1	eterborough – Newark North Gate	76	29	120	08	R1	N	"R2
R3"	N	N	N	"R4
R5"	"R1Prohibited Grantham Bay platform 3 with deflated
suspension
R2Passenger operation can be planned for Fast / Main
lines only.   ECS can be planned for Fast / Main and
Slow lines.
R3For all planned movements and unplanned diversions
when returning to Fast / Main lines a maximum speed
of 70mph applies until the unit has passed the next
signal.
R4Shall be planned for Fast / Main lines only
R5For unplanned diversions when returning to Fast/Main
lines a maximum speed of 70mph applies until the unit
has passed the next signal"
London-North-Eastern	0997	2	LN101	PMJ	"eterborough – Helpston Jn via
tamford lines"	22	19	16	71	Y	N	"R1
R2"	N	N	N	"R3
R4"	"R1Passenger operation can be planned for Fast / Main
lines only.   ECS can be planned for Fast / Main and
Slow lines.
R2For all planned movements and unplanned diversions
when returning to Fast / Main lines a maximum speed
of 70mph applies until the unit has passed the next
signal.
R3Shall be planned for Fast / Main lines only
R4For unplanned diversions when returning to Fast/Main
lines a maximum speed of 70mph applies until the unit
has passed the next signal"
London-North-Eastern	0997	3	LN101	ECM1	ewark North Gate – Retford	120	08	138	49	Y	N	"R1
R2"	N	N	N	"R3
R4"	"R1Passenger operation can be planned for Fast / Main
lines only.   ECS can be planned for Fast / Main and
Slow lines.
R2For all planned movements and unplanned diversions
when returning to Fast / Main lines a maximum speed
of 70mph applies until the unit has passed the next
signal.
R3Shall be planned for Fast / Main lines only
R4For unplanned diversions when returning to Fast/Main
lines a maximum speed of 70mph applies until the unit
has passed the next signal"
