Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	168	170	172	180	220	221	222	Notes
London-North-Eastern	1017	1	LN3140	BBM	"Route Boundary (MD140) (Bedford St.
ohns) – Bedford Station Jn"	16	07	16	50	N	N	"E
R1"	N	N	N	N	1Prohibited with footsteps fitted
London-North-Eastern	1017	2	LN3140	SPC1	"Bedford Station Jn – Bedford Station
Via Up and Down Bletchley line)"	49	60	49	65	N	N	"E
R1"	N	N	N	N	1Prohibited with footsteps fitted
London-North-Eastern	1017	3	LN3201	SPC1	"St. Pancras platforms 1, 2, 3 and 4 -
ricklewood"	0	12	5	09	E	Y	"E
R1"	N	Y	Y	Y	"1Prohibited between St Pancras
platforms 1, 2, 3 and 4 and Carlton
Road Jn"
London-North-Eastern	1017	4	LN3201	SPC1	"ricklewood – Change of ELR
Bedford)"	5	09	50	00	E	Y	E	N	Y	Y	Y	
London-North-Eastern	1017	5	LN3201	SPC2	"hange of ELR (Bedford) – Change of
LR (Wellingborough)"	50	00	64	78	E	Y	E	N	R1	R1	Y	"R190mph between Sharnbrook and
Wellingborough Station"
London-North-Eastern	1017	6	LN3201	SPC3	"hange of ELR (Wellingborough) –
hange of ELR (Wigston South Jn)"	64	78	95	38	E	Y	E	N	R1	R1	Y	"R190mph between Sharnbrook and
Wellingborough Station"
London-North-Eastern	1017	7	LN3201	SPC4	"hange of ELR (Wigston South Jn) –
hange of ELR (Leicester)"	95	38	98	73	E	Y	E	N	Y	Y	Y	
London-North-Eastern	1017	8	LN3201	SPC5	"hange of ELR (Leicester) –
eicester"	98	73	99	07	E	Y	E	N	Y	Y	Y	
London-North-Eastern	1017	9	LN3201	SPC5	eicester – Ratcliffe Jn	99	07	118	34	E	Y	E	N	Y	Y	Y	
London-North-Eastern	1017	10	LN3201	SPC5	"Ratcliffe Jn – Change of ELR
Ratcliffe)"	118	34	118	60	E	Y	E	N	Y	Y	Y	
London-North-Eastern	1017	11	LN3201	SPC6	"hange of ELR (Ratcliffe) – Change of
LR (Spondon)"	118	60	126	27	E	Y	E	N	Y	Y	Y	
London-North-Eastern	1017	12	LN3201	SPC7	"hange of ELR (Spondon) – London
oad Jn"	126	27	128	23	E	Y	E	E	Y	Y	Y	
London-North-Eastern	1017	13	LN3201	SPC8	ondon Road Jn – Derby Jn	127	54	128	08	E	Y	E	"E
R1"	Y	Y	Y	1Prohibited Derby platforms 3 and 4
London-North-Eastern	1017	14	LN3201	SPC8	"erby Jn – Former Clay Cross South
n"	128	08	147	69	N	Y	N	E	Y	Y	Y	
